Feature,Importance
Temperature,0.9837828585747325
Humidity,0.00045663251106665476
Pressure,0.0006096785438817156
WindSpeed_10m,0.0006884212079352834
WindDirection_10m,0.00035760753120087416
WindSpeed_50m,0.0006679226007445789
WindDirection_50m,0.00035227693894439305
AirDensity,0.00011571789175226784
SpecificHumidity,0.0011464988767683358
CloudAmount,0.0008621988401931003
SolarRadiation,0.0031854834046594884
Hour,0.00750200382338154
Month,0.0002726992547392857
